"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"01/01/2020","49","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow","31","49"
"01/02/2020","33","PM2.5","Wylam","01-073-2003","AirNow","27","33"
"01/03/2020","31","Ozone","North Birmingham","01-073-0023","AirNow","31","28"
"01/04/2020","64","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow","35","64"
"01/05/2020","53","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow","31","53"
"01/06/2020","41","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow",".","41"
"01/07/2020","89","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow",".","89"
"01/08/2020","56","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow",".","56"
"01/09/2020","56","PM2.5","North Birmingham","01-073-0023","AirNow",".","56"
"01/10/2020","44","PM2.5","North Birmingham","01-073-0023","AirNow","34","44"
"01/11/2020","39","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow","31","39"
"01/12/2020","31","PM2.5","Leeds","01-073-1010","AirNow","28","31"
"01/13/2020","43","PM2.5","Wylam","01-073-2003","AirNow","23","43"
"01/14/2020","26","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow","18","26"
"01/15/2020","35","PM2.5","Wylam","01-073-2003","AirNow","19","35"
"01/16/2020","31","Ozone","North Birmingham","01-073-0023","AirNow","31","27"
"01/17/2020","34","Ozone","North Birmingham","01-073-0023","AirNow","34","22"
"01/18/2020","34","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow","33","34"
"01/19/2020","37","Ozone","North Birmingham","01-073-0023","AirNow","37","20"
"01/20/2020","39","PM2.5","North Birmingham","01-073-0023","AirNow","27","39"
"01/21/2020","36","PM2.5","Wylam","01-073-2003","AirNow","31","36"
"01/22/2020","37","PM2.5","Wylam","01-073-2003","AirNow","31","37"
"01/23/2020","33","PM2.5","Wylam","01-073-2003","AirNow","29","33"
"01/24/2020","73","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow","32","73"
"01/25/2020","51","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow","26","51"
"01/26/2020","54","PM2.5","North Birmingham","01-073-0023","AirNow","20","54"
"01/27/2020","45","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow","31","45"
"01/28/2020","63","PM2.5","North Birmingham","01-073-0023","AirNow",".","63"
"01/29/2020","39","PM2.5","Wylam","01-073-2003","AirNow","29","39"
"01/30/2020","54","PM2.5","North Birmingham","01-073-0023","AirNow","36","54"
"01/31/2020","48","PM2.5","North Birmingham","01-073-0023","AirNow","29","48"
"02/01/2020","46","PM2.5","North Birmingham","01-073-0023","AirNow","28","46"
"02/02/2020","39","Ozone","North Birmingham","01-073-0023","AirNow","39","28"
"02/03/2020","46","PM2.5","Wylam","01-073-2003","AirNow","43","46"
"02/04/2020","35","Ozone","North Birmingham","01-073-0023","AirNow","35","31"
"02/05/2020","34","PM2.5","North Birmingham","01-073-0023","AirNow","32","34"
"02/06/2020","59","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow","20","59"
"02/07/2020","89","PM2.5","Sloss Shuttlesworth","01-073-6004","AirNow","33","89"
