,date,Overall_AQI_Value,main_pollutant,site_name,Lat ,Lon,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
0,2020-01-01,63,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,28,,,63,,43.615,-116.2023,Boise,2020-03-25
1,2020-01-02,62,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,23,,,62,,43.615,-116.2023,Boise,2020-03-25
2,2020-01-03,52,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,26,,,52,,43.615,-116.2023,Boise,2020-03-25
3,2020-01-04,55,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,28,,,55,,43.615,-116.2023,Boise,2020-03-25
4,2020-01-05,43,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,24,,,43,,43.615,-116.2023,Boise,2020-03-25
5,2020-01-06,59,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,19,,,59,,43.615,-116.2023,Boise,2020-03-25
6,2020-01-07,49,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0002,AirNow,,20,,,49,,43.615,-116.2023,Boise,2020-03-25
7,2020-01-08,48,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,27,,,48,,43.615,-116.2023,Boise,2020-03-25
8,2020-01-09,34,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,28,,,34,,43.615,-116.2023,Boise,2020-03-25
9,2020-01-10,44,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,31,,,44,,43.615,-116.2023,Boise,2020-03-25
10,2020-01-11,46,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,28,,,46,,43.615,-116.2023,Boise,2020-03-25
11,2020-01-12,29,Ozone,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,29,,,28,,43.615,-116.2023,Boise,2020-03-25
12,2020-01-13,34,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,30,,,34,,43.615,-116.2023,Boise,2020-03-25
13,2020-01-14,45,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,24,,,45,,43.615,-116.2023,Boise,2020-03-25
14,2020-01-15,55,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,31,,,55,,43.615,-116.2023,Boise,2020-03-25
15,2020-01-16,76,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,30,,,76,,43.615,-116.2023,Boise,2020-03-25
16,2020-01-17,48,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,29,,,48,,43.615,-116.2023,Boise,2020-03-25
17,2020-01-18,56,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,25,,,56,,43.615,-116.2023,Boise,2020-03-25
18,2020-01-19,44,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,27,,,44,,43.615,-116.2023,Boise,2020-03-25
19,2020-01-20,59,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,19,,,59,,43.615,-116.2023,Boise,2020-03-25
20,2020-01-21,66,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,19,,,66,,43.615,-116.2023,Boise,2020-03-25
21,2020-01-22,55,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-027-0002,AirNow,,24,,,55,,43.615,-116.2023,Boise,2020-03-25
22,2020-01-23,60,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-027-0002,AirNow,,15,,,60,,43.615,-116.2023,Boise,2020-03-25
23,2020-01-24,49,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,18,,,49,,43.615,-116.2023,Boise,2020-03-25
24,2020-01-25,32,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-001-0020,AirNow,,14,,,32,,43.615,-116.2023,Boise,2020-03-25
25,2020-01-26,46,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,16,,,46,,43.615,-116.2023,Boise,2020-03-25
26,2020-01-27,47,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,26,,,47,,43.615,-116.2023,Boise,2020-03-25
27,2020-01-28,59,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,21,,,59,,43.615,-116.2023,Boise,2020-03-25
28,2020-01-29,33,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,25,,,33,,43.615,-116.2023,Boise,2020-03-25
29,2020-01-30,57,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,22,,,57,,43.615,-116.2023,Boise,2020-03-25
30,2020-01-31,38,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,19,,,38,,43.615,-116.2023,Boise,2020-03-25
31,2020-02-01,42,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,19,,,42,,43.615,-116.2023,Boise,2020-03-25
32,2020-02-02,31,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,28,,,31,,43.615,-116.2023,Boise,2020-03-25
33,2020-02-03,24,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-001-0010,AirNow,,.,,,24,,43.615,-116.2023,Boise,2020-03-25
34,2020-02-04,25,PM2.5,Boise - White Pine Elementary,43.615,-116.2023,16-015-0001,AirNow,,.,,,25,,43.615,-116.2023,Boise,2020-03-25
