,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
0,2020-01-01,24,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,24,10,39.9612,-82.9988,Columbus,2020-03-23
1,2020-01-02,17,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,17,15,39.9612,-82.9988,Columbus,2020-03-23
2,2020-01-03,23,NO2,Fairgrounds,39-049-0034,AQS,2,.,0,.,18,23,39.9612,-82.9988,Columbus,2020-03-23
3,2020-01-04,40,PM2.5,Maple Canyon,39-049-0081,AQS,0,.,0,7,40,7,39.9612,-82.9988,Columbus,2020-03-23
4,2020-01-05,24,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,24,9,39.9612,-82.9988,Columbus,2020-03-23
5,2020-01-06,25,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,25,24,39.9612,-82.9988,Columbus,2020-03-23
6,2020-01-07,37,PM2.5,Smoky Row Near Road,39-049-0038,AQS,7,.,0,.,37,33,39.9612,-82.9988,Columbus,2020-03-23
7,2020-01-08,21,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,21,15,39.9612,-82.9988,Columbus,2020-03-23
8,2020-01-09,22,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,4,.,22,19,39.9612,-82.9988,Columbus,2020-03-23
9,2020-01-10,29,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,9,29,21,39.9612,-82.9988,Columbus,2020-03-23
10,2020-01-11,13,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,13,6,39.9612,-82.9988,Columbus,2020-03-23
11,2020-01-12,16,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,.,16,14,39.9612,-82.9988,Columbus,2020-03-23
12,2020-01-13,28,PM2.5,New Albany,39-049-0029,AQS,3,.,0,.,28,18,39.9612,-82.9988,Columbus,2020-03-23
13,2020-01-14,50,PM2.5,Smoky Row Near Road,39-049-0038,AQS,2,.,0,.,50,17,39.9612,-82.9988,Columbus,2020-03-23
14,2020-01-15,47,PM2.5,Smoky Row Near Road,39-049-0038,AQS,3,.,0,.,47,19,39.9612,-82.9988,Columbus,2020-03-23
15,2020-01-16,45,PM2.5,Smoky Row Near Road,39-049-0038,AQS,1,.,0,8,45,5,39.9612,-82.9988,Columbus,2020-03-23
16,2020-01-17,19,PM2.5,New Albany,39-049-0029,AQS,0,.,0,.,19,14,39.9612,-82.9988,Columbus,2020-03-23
17,2020-01-18,18,PM2.5,Smoky Row Near Road,39-049-0038,AQS,0,.,0,.,18,9,39.9612,-82.9988,Columbus,2020-03-23
18,2020-01-19,52,PM2.5,New Albany,39-049-0029,AQS,0,.,0,.,52,2,39.9612,-82.9988,Columbus,2020-03-23
19,2020-01-20,44,PM2.5,New Albany,39-049-0029,AQS,0,.,0,.,44,22,39.9612,-82.9988,Columbus,2020-03-23
20,2020-01-21,44,PM2.5,New Albany,39-049-0029,AQS,2,.,0,.,44,29,39.9612,-82.9988,Columbus,2020-03-23
21,2020-01-22,65,PM2.5,Smoky Row Near Road,39-049-0038,AQS,7,.,4,22,65,34,39.9612,-82.9988,Columbus,2020-03-23
