,date,Overall_AQI_Value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
0,2020-01-01,102,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,44,,,102,,34.0522,-118.2437,Los_Angeles,2020-03-23
1,2020-01-02,66,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,40,,,66,,34.0522,-118.2437,Los_Angeles,2020-03-23
2,2020-01-03,87,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,41,,,87,,34.0522,-118.2437,Los_Angeles,2020-03-23
3,2020-01-04,99,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,36,,,99,,34.0522,-118.2437,Los_Angeles,2020-03-23
4,2020-01-05,96,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,40,,,96,,34.0522,-118.2437,Los_Angeles,2020-03-23
5,2020-01-06,72,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,42,,,72,,34.0522,-118.2437,Los_Angeles,2020-03-23
6,2020-01-07,38,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,34,,,38,,34.0522,-118.2437,Los_Angeles,2020-03-23
7,2020-01-08,57,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,38,,,57,,34.0522,-118.2437,Los_Angeles,2020-03-23
8,2020-01-09,50,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,37,,,50,,34.0522,-118.2437,Los_Angeles,2020-03-23
9,2020-01-10,65,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,34,,,65,,34.0522,-118.2437,Los_Angeles,2020-03-23
10,2020-01-11,75,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,38,,,75,,34.0522,-118.2437,Los_Angeles,2020-03-23
11,2020-01-12,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,42,,,67,,34.0522,-118.2437,Los_Angeles,2020-03-23
12,2020-01-13,81,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,42,,,81,,34.0522,-118.2437,Los_Angeles,2020-03-23
13,2020-01-14,85,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,44,,,85,,34.0522,-118.2437,Los_Angeles,2020-03-23
14,2020-01-15,124,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,40,,,124,,34.0522,-118.2437,Los_Angeles,2020-03-23
15,2020-01-16,88,PM2.5,Long Beach (South),06-037-4004,AirNow,,46,,,88,,34.0522,-118.2437,Los_Angeles,2020-03-23
16,2020-01-17,38,Ozone,Santa Clarita,06-037-6012,AirNow,,38,,,36,,34.0522,-118.2437,Los_Angeles,2020-03-23
17,2020-01-18,62,PM2.5,Long Beach (South),06-037-4004,AirNow,,41,,,62,,34.0522,-118.2437,Los_Angeles,2020-03-23
18,2020-01-19,58,PM2.5,Long Beach (South),06-037-4004,AirNow,,39,,,58,,34.0522,-118.2437,Los_Angeles,2020-03-23
19,2020-01-20,61,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,,35,,,61,,34.0522,-118.2437,Los_Angeles,2020-03-23
20,2020-01-21,49,PM2.5,Glendora,06-037-0016,AirNow,,39,,,49,,34.0522,-118.2437,Los_Angeles,2020-03-23
21,2020-01-22,53,PM2.5,Long Beach (South),06-037-4004,AirNow,,38,,,53,,34.0522,-118.2437,Los_Angeles,2020-03-23
22,2020-01-23,58,PM2.5,Long Beach (South),06-037-4004,AirNow,,37,,,58,,34.0522,-118.2437,Los_Angeles,2020-03-23
23,2020-01-24,61,PM2.5,Long Beach (South),06-037-4004,AirNow,,33,,,61,,34.0522,-118.2437,Los_Angeles,2020-03-23
24,2020-01-25,88,PM2.5,Anaheim,06-059-0007,AirNow,,38,,,88,,34.0522,-118.2437,Los_Angeles,2020-03-23
25,2020-01-26,108,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,,42,,,108,,34.0522,-118.2437,Los_Angeles,2020-03-23
26,2020-01-27,77,PM2.5,Long Beach (South),06-037-4004,AirNow,,40,,,77,,34.0522,-118.2437,Los_Angeles,2020-03-23
27,2020-01-28,57,PM2.5,Long Beach (South),06-037-4004,AirNow,,42,,,57,,34.0522,-118.2437,Los_Angeles,2020-03-23
28,2020-01-29,46,PM2.5,Long Beach (South),06-037-4004,AirNow,,44,,,46,,34.0522,-118.2437,Los_Angeles,2020-03-23
29,2020-01-30,59,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,41,,,59,,34.0522,-118.2437,Los_Angeles,2020-03-23
30,2020-01-31,67,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,38,,,67,,34.0522,-118.2437,Los_Angeles,2020-03-23
31,2020-02-01,59,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,47,,,59,,34.0522,-118.2437,Los_Angeles,2020-03-23
32,2020-02-02,69,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,44,,,69,,34.0522,-118.2437,Los_Angeles,2020-03-23
33,2020-02-03,45,Ozone,Pasadena,06-037-2005,AirNow,,45,,,26,,34.0522,-118.2437,Los_Angeles,2020-03-23
34,2020-02-04,44,Ozone,Mission Viejo,06-059-2022,AirNow,,44,,,31,,34.0522,-118.2437,Los_Angeles,2020-03-23
35,2020-02-05,52,PM2.5,Long Beach (South),06-037-4004,AirNow,,39,,,52,,34.0522,-118.2437,Los_Angeles,2020-03-23
36,2020-02-06,62,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,39,,,62,,34.0522,-118.2437,Los_Angeles,2020-03-23
37,2020-02-07,76,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,44,,,76,,34.0522,-118.2437,Los_Angeles,2020-03-23
38,2020-02-08,76,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,67,,,76,,34.0522,-118.2437,Los_Angeles,2020-03-23
39,2020-02-09,51,PM2.5,Los Angeles-North Main Street,06-037-1103,AirNow,,42,,,51,,34.0522,-118.2437,Los_Angeles,2020-03-23
40,2020-02-10,42,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,41,,,42,,34.0522,-118.2437,Los_Angeles,2020-03-23
41,2020-02-11,45,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,45,,,45,,34.0522,-118.2437,Los_Angeles,2020-03-23
42,2020-02-12,52,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,44,,,52,,34.0522,-118.2437,Los_Angeles,2020-03-23
43,2020-02-13,62,PM2.5,Long Beach-Route 710 Near Road,06-037-4008,AirNow,,46,,,62,,34.0522,-118.2437,Los_Angeles,2020-03-23
