,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
0,2020-01-01,35,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,27,,,35,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
1,2020-01-02,29,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,24,,,29,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
2,2020-01-03,43,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,26,,,43,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
3,2020-01-04,31,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,31,,,30,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
4,2020-01-05,36,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,29,,,36,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
5,2020-01-06,28,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,.,,,28,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
6,2020-01-07,31,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,31,,,28,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
7,2020-01-08,43,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,31,,,28,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
8,2020-01-09,54,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,31,,,28,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
9,2020-01-10,65,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,25,,,65,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
10,2020-01-11,33,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,33,,,16,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
11,2020-01-12,28,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,28,,,26,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
12,2020-01-13,47,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,18,,,47,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
13,2020-01-14,60,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,16,,,60,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
14,2020-01-15,62,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,24,,,62,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
15,2020-01-16,42,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,24,,,42,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
16,2020-01-17,33,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,.,,,33,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
17,2020-01-18,32,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,25,,,32,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
18,2020-01-19,29,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,29,,,28,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
19,2020-01-20,38,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,31,,,38,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
20,2020-01-21,60,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,32,,,60,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
21,2020-01-22,60,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,20,,,60,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
22,2020-01-23,70,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,19,,,70,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
23,2020-01-24,58,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,21,,,58,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
24,2020-01-25,43,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,21,,,43,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
25,2020-01-26,53,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,24,,,53,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
26,2020-01-27,43,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,31,,,43,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
27,2020-01-28,36,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,31,,,36,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
28,2020-01-29,51,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,24,,,51,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
29,2020-01-30,70,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,16,,,70,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
30,2020-01-31,75,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,17,,,75,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
31,2020-02-01,55,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,26,,,55,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
32,2020-02-02,34,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,34,,,26,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
33,2020-02-03,33,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,33,,,25,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
34,2020-02-04,30,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,30,,,18,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
35,2020-02-05,17,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,.,,,17,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
36,2020-02-06,34,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,31,,,34,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
37,2020-02-07,38,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,32,,,38,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
38,2020-02-08,35,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,32,,,35,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
39,2020-02-09,61,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,27,,,61,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
40,2020-02-10,51,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,24,,,51,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
41,2020-02-11,58,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,31,,,58,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
42,2020-02-12,50,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,27,,,50,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
43,2020-02-13,29,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,29,,,20,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
44,2020-02-14,33,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,28,,,33,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
45,2020-02-15,40,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AirNow,,27,,,40,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
46,2020-02-16,52,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AirNow,,34,,,52,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
47,2020-02-17,50,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,35,,,50,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
48,2020-02-18,40,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,35,,,40,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
49,2020-02-19,35,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,35,,,25,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
50,2020-02-20,33,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,33,,,28,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
51,2020-02-21,54,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,31,,,54,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
52,2020-02-22,43,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,32,,,43,,43.0389,-87.9065,Milwaukee,2020-03-25,592025
