,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance
0,2020-01-01,36,PM2.5,Intermediate School 143,36-061-0115,AQS,2,31,0,.,36,17,40.7128,-74.006,New_York,2020-03-23
1,2020-01-02,56,PM2.5,Intermediate School 143,36-061-0115,AQS,13,31,9,.,56,39,40.7128,-74.006,New_York,2020-03-23
2,2020-01-03,68,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,13,19,1,.,68,36,40.7128,-74.006,New_York,2020-03-23
3,2020-01-04,59,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,8,28,1,.,59,28,40.7128,-74.006,New_York,2020-03-23
4,2020-01-05,37,PM2.5,CCNY,36-061-0135,AQS,6,33,0,.,37,19,40.7128,-74.006,New_York,2020-03-23
5,2020-01-06,47,PM2.5,Intermediate School 143,36-061-0115,AQS,3,31,4,.,47,37,40.7128,-74.006,New_York,2020-03-23
6,2020-01-07,43,PM2.5,PS 274,36-047-0118,AQS,6,29,11,.,43,38,40.7128,-74.006,New_York,2020-03-23
7,2020-01-08,47,PM2.5,Intermediate School 143,36-061-0115,AQS,5,33,4,.,47,28,40.7128,-74.006,New_York,2020-03-23
8,2020-01-09,43,PM2.5,Intermediate School 143,36-061-0115,AQS,5,30,4,.,43,40,40.7128,-74.006,New_York,2020-03-23
9,2020-01-10,50,PM2.5,Intermediate School 143,36-061-0115,AQS,6,32,3,.,50,41,40.7128,-74.006,New_York,2020-03-23
10,2020-01-11,52,PM2.5,PS 274,36-047-0118,AQS,6,36,3,.,52,39,40.7128,-74.006,New_York,2020-03-23
11,2020-01-12,40,PM2.5,Intermediate School 143,36-061-0115,AQS,3,32,0,.,40,17,40.7128,-74.006,New_York,2020-03-23
12,2020-01-13,51,PM2.5,FRESHKILLS WEST,36-085-0111,AQS,5,22,0,.,51,27,40.7128,-74.006,New_York,2020-03-23
13,2020-01-14,60,PM2.5,Fort Lee Near Road,34-003-0010,AirNow,7,20,1,.,60,26,40.7128,-74.006,New_York,2020-03-23
