,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,state_ordinance,population,lat,lon,city_name
0,2020-01-01,84,PM2.5,Chalmette Vista,22-087-0007,AQS,6,34,37,49,84,36,2020-03-23,391006,29.9511,-90.0715,New_Orleans
1,2020-01-02,51,PM2.5,Chalmette Vista,22-087-0007,AQS,5,31,50,19,51,13,2020-03-23,391006,29.9511,-90.0715,New_Orleans
2,2020-01-03,36,SO2,Norco,22-089-0006,AQS,6,35,36,4,10,20,2020-03-23,391006,29.9511,-90.0715,New_Orleans
3,2020-01-04,34,Ozone,Kenner,22-051-1001,AQS,6,34,3,12,24,25,2020-03-23,391006,29.9511,-90.0715,New_Orleans
4,2020-01-05,34,Ozone,Convent,22-093-0002,AQS,10,34,27,10,30,24,2020-03-23,391006,29.9511,-90.0715,New_Orleans
5,2020-01-06,43,Ozone,Meraux,22-087-0004,AQS,10,43,21,13,31,33,2020-03-23,391006,29.9511,-90.0715,New_Orleans
6,2020-01-07,37,Ozone,Kenner,22-051-1001,AQS,7,37,4,9,24,19,2020-03-23,391006,29.9511,-90.0715,New_Orleans
7,2020-01-08,41,PM2.5,Chalmette Vista,22-087-0007,AQS,8,38,29,13,41,22,2020-03-23,391006,29.9511,-90.0715,New_Orleans
8,2020-01-09,48,PM2.5,Chalmette Vista,22-087-0007,AQS,8,40,3,23,48,24,2020-03-23,391006,29.9511,-90.0715,New_Orleans
9,2020-01-10,45,PM2.5,Chalmette Vista,22-087-0007,AQS,8,40,13,18,45,22,2020-03-23,391006,29.9511,-90.0715,New_Orleans
10,2020-01-11,31,Ozone,Kenner,22-051-1001,AQS,5,31,7,12,28,29,2020-03-23,391006,29.9511,-90.0715,New_Orleans
11,2020-01-12,30,PM2.5,Chalmette Vista,22-087-0007,AQS,5,22,9,9,30,9,2020-03-23,391006,29.9511,-90.0715,New_Orleans
12,2020-01-13,49,PM2.5,Chalmette Vista,22-087-0007,AQS,6,13,21,19,49,15,2020-03-23,391006,29.9511,-90.0715,New_Orleans
13,2020-01-14,32,PM2.5,Chalmette Vista,22-087-0007,AQS,6,20,3,10,32,20,2020-03-23,391006,29.9511,-90.0715,New_Orleans
14,2020-01-15,56,PM2.5,Kenner,22-051-1001,AirNow,6,26,7,10,56,23,2020-03-23,391006,29.9511,-90.0715,New_Orleans
15,2020-01-16,46,PM2.5,Kenner,22-051-1001,AirNow,6,27,27,9,46,15,2020-03-23,391006,29.9511,-90.0715,New_Orleans
16,2020-01-17,38,PM2.5,Chalmette Vista,22-087-0007,AQS,3,34,31,18,38,21,2020-03-23,391006,29.9511,-90.0715,New_Orleans
17,2020-01-18,41,PM2.5,Chalmette Vista,22-087-0007,AQS,5,34,4,27,41,24,2020-03-23,391006,29.9511,-90.0715,New_Orleans
18,2020-01-19,36,Ozone,Kenner,22-051-1001,AQS,5,36,1,5,10,1,2020-03-23,391006,29.9511,-90.0715,New_Orleans
19,2020-01-20,34,Ozone,Kenner,22-051-1001,AQS,2,34,1,6,29,2,2020-03-23,391006,29.9511,-90.0715,New_Orleans
20,2020-01-21,35,Ozone,Convent,22-093-0002,AQS,3,35,17,9,30,6,2020-03-23,391006,29.9511,-90.0715,New_Orleans
21,2020-01-22,47,PM2.5,Chalmette Vista,22-087-0007,AQS,3,36,27,14,47,14,2020-03-23,391006,29.9511,-90.0715,New_Orleans
22,2020-01-23,52,PM2.5,Chalmette Vista,22-087-0007,AQS,3,33,41,10,52,32,2020-03-23,391006,29.9511,-90.0715,New_Orleans
23,2020-01-24,36,Ozone,Meraux,22-087-0004,AQS,3,36,7,10,21,34,2020-03-23,391006,29.9511,-90.0715,New_Orleans
24,2020-01-25,37,PM2.5,Chalmette Vista,22-087-0007,AQS,6,36,4,11,37,26,2020-03-23,391006,29.9511,-90.0715,New_Orleans
25,2020-01-26,36,Ozone,Meraux,22-087-0004,AQS,3,36,3,6,33,25,2020-03-23,391006,29.9511,-90.0715,New_Orleans
26,2020-01-27,32,Ozone,Garyville,22-095-0002,AQS,6,32,3,6,18,28,2020-03-23,391006,29.9511,-90.0715,New_Orleans
27,2020-01-28,39,PM2.5,Chalmette Vista,22-087-0007,AQS,8,35,23,10,39,22,2020-03-23,391006,29.9511,-90.0715,New_Orleans
28,2020-01-29,33,Ozone,Kenner,22-051-1001,AQS,3,33,9,6,16,26,2020-03-23,391006,29.9511,-90.0715,New_Orleans
29,2020-01-30,41,SO2,Norco,22-089-0006,AQS,5,39,41,8,33,11,2020-03-23,391006,29.9511,-90.0715,New_Orleans
30,2020-01-31,32,Ozone,Kenner,22-051-1001,AQS,3,32,1,7,28,5,2020-03-23,391006,29.9511,-90.0715,New_Orleans
31,2020-02-01,40,PM2.5,Chalmette Vista,22-087-0007,AQS,6,35,3,10,40,34,2020-03-23,391006,29.9511,-90.0715,New_Orleans
32,2020-02-02,52,PM2.5,Chalmette Vista,22-087-0007,AQS,8,48,3,14,52,34,2020-03-23,391006,29.9511,-90.0715,New_Orleans
33,2020-02-03,45,PM2.5,Chalmette Vista,22-087-0007,AQS,7,45,3,16,45,35,2020-03-23,391006,29.9511,-90.0715,New_Orleans
34,2020-02-04,41,PM2.5,Chalmette Vista,22-087-0007,AQS,6,33,1,18,41,21,2020-03-23,391006,29.9511,-90.0715,New_Orleans
35,2020-02-05,42,PM2.5,Chalmette Vista,22-087-0007,AQS,7,26,3,16,42,21,2020-03-23,391006,29.9511,-90.0715,New_Orleans
36,2020-02-06,27,Ozone,Madisonville,22-103-0002,AQS,7,27,3,8,12,14,2020-03-23,391006,29.9511,-90.0715,New_Orleans
37,2020-02-07,45,PM2.5,Chalmette Vista,22-087-0007,AQS,9,39,3,14,45,31,2020-03-23,391006,29.9511,-90.0715,New_Orleans
38,2020-02-08,37,PM2.5,Chalmette Vista,22-087-0007,AQS,7,35,7,15,37,28,2020-03-23,391006,29.9511,-90.0715,New_Orleans
39,2020-02-09,41,Ozone,Madisonville,22-103-0002,AQS,7,41,37,17,36,29,2020-03-23,391006,29.9511,-90.0715,New_Orleans
40,2020-02-10,48,PM2.5,Chalmette Vista,22-087-0007,AQS,7,36,4,23,48,16,2020-03-23,391006,29.9511,-90.0715,New_Orleans
41,2020-02-11,37,PM2.5,Chalmette Vista,22-087-0007,AQS,5,28,1,16,37,16,2020-03-23,391006,29.9511,-90.0715,New_Orleans
42,2020-02-12,34,PM2.5,Chalmette Vista,22-087-0007,AQS,3,26,1,14,34,23,2020-03-23,391006,29.9511,-90.0715,New_Orleans
43,2020-02-13,26,Ozone,Meraux,22-087-0004,AQS,5,26,1,4,9,6,2020-03-23,391006,29.9511,-90.0715,New_Orleans
44,2020-02-14,69,SO2,Norco,22-089-0006,AQS,5,34,69,8,25,3,2020-03-23,391006,29.9511,-90.0715,New_Orleans
