,date,overall_aqi_value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
0,2020-01-01,29,Ozone,Portland,41-051-0080,AirNow,,29,,,16,,45.5051,-122.675,Portland,2020-03-23,653115
1,2020-01-02,28,Ozone,Portland,41-051-0080,AirNow,,28,,,20,,45.5051,-122.675,Portland,2020-03-23,653115
2,2020-01-03,35,Ozone,Portland,41-051-0080,AirNow,,35,,,20,,45.5051,-122.675,Portland,2020-03-23,653115
3,2020-01-04,34,Ozone,Portland,41-051-0080,AirNow,,34,,,20,,45.5051,-122.675,Portland,2020-03-23,653115
4,2020-01-05,31,Ozone,Portland,41-051-0080,AirNow,,31,,,15,,45.5051,-122.675,Portland,2020-03-23,653115
5,2020-01-06,31,Ozone,Portland,41-051-0080,AirNow,,31,,,13,,45.5051,-122.675,Portland,2020-03-23,653115
6,2020-01-07,32,Ozone,Portland,41-051-0080,AirNow,,32,,,13,,45.5051,-122.675,Portland,2020-03-23,653115
7,2020-01-08,24,Ozone,Portland,41-051-0080,AirNow,,24,,,19,,45.5051,-122.675,Portland,2020-03-23,653115
8,2020-01-09,36,PM2.5,Portland,41-067-0004,AirNow,,14,,,36,,45.5051,-122.675,Portland,2020-03-23,653115
9,2020-01-10,34,Ozone,Portland,41-051-0080,AirNow,,34,,,16,,45.5051,-122.675,Portland,2020-03-23,653115
10,2020-01-11,31,Ozone,Portland,41-051-0080,AirNow,,31,,,16,,45.5051,-122.675,Portland,2020-03-23,653115
11,2020-01-12,33,Ozone,Portland,41-051-0080,AirNow,,33,,,13,,45.5051,-122.675,Portland,2020-03-23,653115
12,2020-01-13,30,Ozone,Portland,41-051-0080,AirNow,,30,,,27,,45.5051,-122.675,Portland,2020-03-23,653115
13,2020-01-14,28,Ozone,Portland,41-051-0080,AirNow,,28,,,26,,45.5051,-122.675,Portland,2020-03-23,653115
14,2020-01-15,33,Ozone,Portland,41-051-0080,AirNow,,33,,,18,,45.5051,-122.675,Portland,2020-03-23,653115
15,2020-01-16,43,PM2.5,Portland,41-051-0080,AirNow,,23,,,43,,45.5051,-122.675,Portland,2020-03-23,653115
16,2020-01-17,33,PM2.5,Portland,41-067-0005,AirNow,,24,,,33,,45.5051,-122.675,Portland,2020-03-23,653115
17,2020-01-18,25,PM2.5,Portland,41-067-0005,AirNow,,24,,,25,,45.5051,-122.675,Portland,2020-03-23,653115
18,2020-01-19,30,PM2.5,Portland,41-051-0080,AirNow,,25,,,30,,45.5051,-122.675,Portland,2020-03-23,653115
19,2020-01-20,61,PM2.5,Portland,53-011-0024,AirNow,,22,,,61,,45.5051,-122.675,Portland,2020-03-23,653115
20,2020-01-21,34,Ozone,Portland,41-051-0080,AirNow,,34,,,28,,45.5051,-122.675,Portland,2020-03-23,653115
21,2020-01-22,28,Ozone,Portland,41-051-0080,AirNow,,28,,,12,,45.5051,-122.675,Portland,2020-03-23,653115
22,2020-01-23,28,Ozone,Portland,41-051-0080,AirNow,,28,,,15,,45.5051,-122.675,Portland,2020-03-23,653115
23,2020-01-24,30,Ozone,Portland,41-051-0080,AirNow,,30,,,23,,45.5051,-122.675,Portland,2020-03-23,653115
24,2020-01-25,27,PM2.5,Portland,41-067-0004,AirNow,,25,,,27,,45.5051,-122.675,Portland,2020-03-23,653115
25,2020-01-26,32,Ozone,Portland,41-051-0080,AirNow,,32,,,17,,45.5051,-122.675,Portland,2020-03-23,653115
26,2020-01-27,33,Ozone,Portland,41-051-0080,AirNow,,33,,,23,,45.5051,-122.675,Portland,2020-03-23,653115
27,2020-01-28,33,Ozone,Portland,41-051-0080,AirNow,,33,,,13,,45.5051,-122.675,Portland,2020-03-23,653115
28,2020-01-29,21,PM2.5,Portland,41-067-0004,AirNow,,21,,,21,,45.5051,-122.675,Portland,2020-03-23,653115
29,2020-01-30,25,PM2.5,Portland,41-067-0005,AirNow,,23,,,25,,45.5051,-122.675,Portland,2020-03-23,653115
30,2020-01-31,30,Ozone,Portland,41-051-0080,AirNow,,30,,,11,,45.5051,-122.675,Portland,2020-03-23,653115
31,2020-02-01,30,Ozone,Portland,41-051-0080,AirNow,,30,,,13,,45.5051,-122.675,Portland,2020-03-23,653115
32,2020-02-02,52,PM2.5,Portland,41-051-0080,AirNow,,27,,,52,,45.5051,-122.675,Portland,2020-03-23,653115
33,2020-02-03,54,PM2.5,Portland,53-011-0024,AirNow,,19,,,54,,45.5051,-122.675,Portland,2020-03-23,653115
34,2020-02-04,54,PM2.5,Portland,53-011-0024,AirNow,,29,,,54,,45.5051,-122.675,Portland,2020-03-23,653115
35,2020-02-05,35,PM2.5,Portland,41-067-0004,AirNow,,27,,,35,,45.5051,-122.675,Portland,2020-03-23,653115
36,2020-02-06,31,Ozone,Portland,41-051-0080,AirNow,,31,,,11,,45.5051,-122.675,Portland,2020-03-23,653115
37,2020-02-07,34,Ozone,Portland,41-051-0080,AirNow,,34,,,12,,45.5051,-122.675,Portland,2020-03-23,653115
38,2020-02-08,31,Ozone,Portland,41-051-0080,AirNow,,31,,,30,,45.5051,-122.675,Portland,2020-03-23,653115
39,2020-02-09,51,PM2.5,Portland,41-051-0080,AirNow,,18,,,51,,45.5051,-122.675,Portland,2020-03-23,653115
40,2020-02-10,51,PM2.5,Portland,41-067-0005,AirNow,,17,,,51,,45.5051,-122.675,Portland,2020-03-23,653115
41,2020-02-11,64,PM2.5,Portland,41-067-0004,AirNow,,5,,,64,,45.5051,-122.675,Portland,2020-03-23,653115
42,2020-02-12,61,PM2.5,Portland,41-051-0080,AirNow,,17,,,61,,45.5051,-122.675,Portland,2020-03-23,653115
43,2020-02-13,53,PM2.5,Portland,41-051-0080,AirNow,,22,,,53,,45.5051,-122.675,Portland,2020-03-23,653115
44,2020-02-14,27,Ozone,Portland,41-051-0080,AirNow,,27,,,25,,45.5051,-122.675,Portland,2020-03-23,653115
45,2020-02-15,30,Ozone,Portland,41-051-0080,AirNow,,30,,,15,,45.5051,-122.675,Portland,2020-03-23,653115
46,2020-02-16,31,Ozone,Portland,41-051-0080,AirNow,,31,,,25,,45.5051,-122.675,Portland,2020-03-23,653115
47,2020-02-17,31,Ozone,Portland,41-051-0080,AirNow,,31,,,25,,45.5051,-122.675,Portland,2020-03-23,653115
48,2020-02-18,32,PM2.5,Portland,41-051-0080,AirNow,,31,,,32,,45.5051,-122.675,Portland,2020-03-23,653115
49,2020-02-19,32,Ozone,Portland,41-051-0080,AirNow,,32,,,19,,45.5051,-122.675,Portland,2020-03-23,653115
50,2020-02-20,31,PM2.5,Portland,53-011-0022,AirNow,,30,,,31,,45.5051,-122.675,Portland,2020-03-23,653115
51,2020-02-21,59,PM2.5,Portland,53-011-0024,AirNow,,23,,,59,,45.5051,-122.675,Portland,2020-03-23,653115
52,2020-02-22,61,PM2.5,Portland,53-011-0022,AirNow,,27,,,61,,45.5051,-122.675,Portland,2020-03-23,653115
53,2020-02-23,37,Ozone,Portland,41-051-0080,AirNow,,37,,,29,,45.5051,-122.675,Portland,2020-03-23,653115
54,2020-02-24,34,PM2.5,Portland,53-011-0024,AirNow,,29,,,34,,45.5051,-122.675,Portland,2020-03-23,653115
55,2020-02-25,47,PM2.5,Portland,53-011-0024,AirNow,,19,,,47,,45.5051,-122.675,Portland,2020-03-23,653115
56,2020-02-26,43,PM2.5,Portland,41-051-0080,AirNow,,24,,,43,,45.5051,-122.675,Portland,2020-03-23,653115
57,2020-02-27,56,PM2.5,Portland,41-051-0080,AirNow,,21,,,56,,45.5051,-122.675,Portland,2020-03-23,653115
58,2020-02-28,45,PM2.5,Portland,53-011-0024,AirNow,,27,,,45,,45.5051,-122.675,Portland,2020-03-23,653115
59,2020-02-29,34,Ozone,Portland,41-051-0080,AirNow,,34,,,28,,45.5051,-122.675,Portland,2020-03-23,653115
60,2020-03-01,47,PM2.5,Portland,53-011-0024,AirNow,,30,,,47,,45.5051,-122.675,Portland,2020-03-23,653115
61,2020-03-02,31,PM2.5,Portland,53-011-0024,AirNow,,29,,,31,,45.5051,-122.675,Portland,2020-03-23,653115
62,2020-03-03,29,Ozone,Portland,41-051-0080,AirNow,,29,,,23,,45.5051,-122.675,Portland,2020-03-23,653115
63,2020-03-04,34,Ozone,Portland,41-051-0080,AirNow,,34,,,32,,45.5051,-122.675,Portland,2020-03-23,653115
64,2020-03-05,46,PM2.5,Portland,41-051-0080,AirNow,,29,,,46,,45.5051,-122.675,Portland,2020-03-23,653115
65,2020-03-06,28,Ozone,Portland,41-051-0080,AirNow,,28,,,18,,45.5051,-122.675,Portland,2020-03-23,653115
66,2020-03-07,30,Ozone,Portland,41-051-0080,AirNow,,30,,,23,,45.5051,-122.675,Portland,2020-03-23,653115
67,2020-03-08,35,PM2.5,Portland,41-051-0080,AirNow,,31,,,35,,45.5051,-122.675,Portland,2020-03-23,653115
68,2020-03-09,53,PM2.5,Portland,41-051-0080,AirNow,,19,,,53,,45.5051,-122.675,Portland,2020-03-23,653115
69,2020-03-10,54,PM2.5,Portland,41-051-0080,AirNow,,27,,,54,,45.5051,-122.675,Portland,2020-03-23,653115
70,2020-03-11,36,Ozone,Portland,41-051-0080,AirNow,,36,,,29,,45.5051,-122.675,Portland,2020-03-23,653115
71,2020-03-12,32,Ozone,Portland,41-051-0080,AirNow,,32,,,31,,45.5051,-122.675,Portland,2020-03-23,653115
72,2020-03-13,35,PM2.5,Portland,53-011-0024,AirNow,,23,,,35,,45.5051,-122.675,Portland,2020-03-23,653115
73,2020-03-14,30,Ozone,Portland,41-051-0080,AirNow,,30,,,21,,45.5051,-122.675,Portland,2020-03-23,653115
74,2020-03-15,31,Ozone,Portland,41-051-0080,AirNow,,31,,,15,,45.5051,-122.675,Portland,2020-03-23,653115
75,2020-03-16,54,Ozone,Portland,41-051-0080,AirNow,,54,,,33,,45.5051,-122.675,Portland,2020-03-23,653115
76,2020-03-17,42,PM2.5,Portland,53-011-0022,AirNow,,29,,,42,,45.5051,-122.675,Portland,2020-03-23,653115
77,2020-03-18,47,PM2.5,Portland,53-011-0024,AirNow,,35,,,47,,45.5051,-122.675,Portland,2020-03-23,653115
78,2020-03-19,57,PM2.5,Portland,41-051-0080,AirNow,,29,,,57,,45.5051,-122.675,Portland,2020-03-23,653115
