,date,Overall_AQI_Value,main_pollutant,site_name,site_id,source_aqi,co,ozone,so2,pm10,pm25,no2,lat,lon,city_name,state_ordinance,population
0,2020-01-01,34,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,34,,,26,,47.6062,-122.3321,Seattle,2020-03-23,744955
1,2020-01-02,31,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,31,,,30,,47.6062,-122.3321,Seattle,2020-03-23,744955
2,2020-01-03,37,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,37,,,36,,47.6062,-122.3321,Seattle,2020-03-23,744955
3,2020-01-04,36,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,36,,,30,,47.6062,-122.3321,Seattle,2020-03-23,744955
4,2020-01-05,31,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,31,,,24,,47.6062,-122.3321,Seattle,2020-03-23,744955
5,2020-01-06,37,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,30,,,37,,47.6062,-122.3321,Seattle,2020-03-23,744955
6,2020-01-07,31,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,31,,,25,,47.6062,-122.3321,Seattle,2020-03-23,744955
7,2020-01-08,31,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,31,,,24,,47.6062,-122.3321,Seattle,2020-03-23,744955
8,2020-01-09,56,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,,14,,,56,,47.6062,-122.3321,Seattle,2020-03-23,744955
9,2020-01-10,43,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,31,,,43,,47.6062,-122.3321,Seattle,2020-03-23,744955
10,2020-01-11,33,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,33,,,32,,47.6062,-122.3321,Seattle,2020-03-23,744955
11,2020-01-12,33,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,33,,,29,,47.6062,-122.3321,Seattle,2020-03-23,744955
12,2020-01-13,35,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,25,,,35,,47.6062,-122.3321,Seattle,2020-03-23,744955
13,2020-01-14,32,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,,31,,,32,,47.6062,-122.3321,Seattle,2020-03-23,744955
14,2020-01-15,33,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,33,,,21,,47.6062,-122.3321,Seattle,2020-03-23,744955
15,2020-01-16,38,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,27,,,38,,47.6062,-122.3321,Seattle,2020-03-23,744955
16,2020-01-17,61,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,31,,,61,,47.6062,-122.3321,Seattle,2020-03-23,744955
17,2020-01-18,45,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,31,,,45,,47.6062,-122.3321,Seattle,2020-03-23,744955
18,2020-01-19,68,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,29,,,68,,47.6062,-122.3321,Seattle,2020-03-23,744955
19,2020-01-20,55,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,19,,,55,,47.6062,-122.3321,Seattle,2020-03-23,744955
20,2020-01-21,38,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,,31,,,38,,47.6062,-122.3321,Seattle,2020-03-23,744955
21,2020-01-22,35,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,,27,,,35,,47.6062,-122.3321,Seattle,2020-03-23,744955
22,2020-01-23,33,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,20,,,33,,47.6062,-122.3321,Seattle,2020-03-23,744955
23,2020-01-24,29,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,29,,,25,,47.6062,-122.3321,Seattle,2020-03-23,744955
24,2020-01-25,38,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,19,,,38,,47.6062,-122.3321,Seattle,2020-03-23,744955
25,2020-01-26,33,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,33,,,25,,47.6062,-122.3321,Seattle,2020-03-23,744955
26,2020-01-27,29,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,29,,,23,,47.6062,-122.3321,Seattle,2020-03-23,744955
27,2020-01-28,39,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,28,,,39,,47.6062,-122.3321,Seattle,2020-03-23,744955
28,2020-01-29,40,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,17,,,40,,47.6062,-122.3321,Seattle,2020-03-23,744955
29,2020-01-30,47,PM2.5,SEATTLE - DUWAMISH,53-033-0057,AirNow,,23,,,47,,47.6062,-122.3321,Seattle,2020-03-23,744955
30,2020-01-31,31,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,31,,,28,,47.6062,-122.3321,Seattle,2020-03-23,744955
31,2020-02-01,34,Ozone,SEATTLE - BEACON HILL,53-033-0080,AirNow,,34,,,25,,47.6062,-122.3321,Seattle,2020-03-23,744955
32,2020-02-02,46,PM2.5,TACOMA - L STREET,53-053-0029,AirNow,,31,,,46,,47.6062,-122.3321,Seattle,2020-03-23,744955
33,2020-02-03,52,PM2.5,MARYSVILLE - 7TH AVE (Marysville Junior High),53-061-1007,AirNow,,29,,,52,,47.6062,-122.3321,Seattle,2020-03-23,744955
34,2020-02-04,56,PM2.5,DARRINGTON - FIR ST (Darrington High School),53-061-0020,AirNow,,18,,,56,,47.6062,-122.3321,Seattle,2020-03-23,744955
