Date,Overall_AQI_Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/2020,44,PM2.5,Cleveland Near Road,39-035-0073,AQS,2,29,4,11,44,9
1/2/2020,26,Ozone,Cleveland Near Road,39-035-0060,AQS,5,26,4,20,25,9
1/3/2020,57,PM2.5,Cleveland Near Road,39-035-0073,AQS,3,17,6,15,57,23
1/4/2020,48,PM2.5,Cleveland Near Road,39-035-0073,AQS,3,31,4,13,48,10
1/5/2020,31,Ozone,Cleveland Near Road,39-035-0060,AQS,5,31,3,12,28,8
1/6/2020,30,PM2.5,Cleveland Near Road,39-035-0073,AQS,5,.,10,12,30,13
1/7/2020,48,PM2.5,Cleveland Near Road,39-035-0073,AQS,5,28,16,37,48,27
1/8/2020,33,PM2.5,Cleveland Near Road,39-035-0073,AQS,3,30,3,12,33,8
1/9/2020,79,SO2,Cleveland Near Road,39-035-0038,AQS,3,24,79,45,32,20
1/10/2020,47,PM2.5,Cleveland Near Road,39-035-0065,AQS,6,23,4,28,47,12
1/11/2020,25,Ozone,Cleveland Near Road,39-035-0060,AQS,6,25,6,19,21,17
1/12/2020,27,Ozone,Cleveland Near Road,39-035-0060,AQS,3,27,4,6,18,9
01/13/2020,47,PM2.5,Cleveland Near Road,39-085-0007,AQS,5,19,4,14,47,17
01/14/2020,55,PM2.5,Cleveland Near Road,39-035-0073,AQS,5,19,9,25,55,17
01/15/2020,59,PM2.5,Cleveland Near Road,39-035-0073,AQS,5,21,4,26,59,25
01/16/2020,56,PM2.5,Cleveland Near Road,39-035-0045,AQS,2,27,3,37,56,8
01/17/2020,28,Ozone,Cleveland Near Road,39-035-0060,AQS,3,28,3,16,21,12
01/18/2020,24,PM2.5,Cleveland Near Road,39-035-0073,AQS,5,23,4,9,24,7
01/19/2020,54,PM2.5,Cleveland Near Road,39-035-0073,AQS,3,35,3,17,54,15
01/20/2020,37,Ozone,Cleveland Near Road,39-035-0060,AQS,3,37,3,15,33,21
01/21/2020,54,PM2.5,Cleveland Near Road,39-035-0073,AQS,5,35,3,19,54,22
01/22/2020,82,PM2.5,Cleveland Near Road,39-035-0065,AQS,9,24,17,67,82,34
01/23/2020,59,PM2.5,Cleveland Near Road,39-035-0060,AQS,8,8,31,52,59,31
01/24/2020,46,PM2.5,Cleveland Near Road,39-035-0060,AQS,5,24,9,20,46,26
01/25/2020,33,PM2.5,Cleveland Near Road,39-035-0073,AQS,3,19,3,6,33,10
01/26/2020,43,PM2.5,Cleveland Near Road,39-035-0073,AQS,3,24,3,6,43,8
01/27/2020,52,PM2.5,Cleveland Near Road,39-035-0073,AQS,5,24,4,11,52,13
01/28/2020,40,PM2.5,Cleveland Near Road,39-035-0073,AQS,5,31,13,27,40,15
01/29/2020,31,Ozone,Cleveland Near Road,39-035-0060,AQS,5,31,3,22,19,12
01/30/2020,47,PM2.5,Cleveland Near Road,39-035-0073,AQS,6,30,7,17,47,23
01/31/2020,60,PM2.5,Cleveland Near Road,39-035-0073,AQS,5,27,4,21,60,25
2/1/2020,57,PM2.5,Cleveland Near Road,39-035-0073,AirNow,5,27,4,.,57,.
2/2/2020,42,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,31,4,.,42,.
2/3/2020,53,PM2.5,Cleveland Near Road,39-035-0060,AirNow,.,30,6,.,53,.
2/4/2020,42,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,31,4,.,42,.
2/5/2020,31,Ozone,Cleveland Near Road,39-035-0060,AirNow,.,31,4,.,16,.
2/6/2020,30,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,27,4,.,30,.
2/7/2020,37,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,28,4,.,37,.
2/8/2020,62,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,29,4,.,62,.
2/9/2020,58,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,28,3,.,58,.
2/10/2020,53,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,27,4,.,53,.
2/11/2020,60,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,29,4,.,60,.
2/12/2020,60,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,26,4,.,60,.
02/13/2020,49,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,30,4,.,49,.
02/14/2020,34,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,.,4,.,34,.
02/15/2020,51,PM2.5,Cleveland Near Road,39-035-0060,AirNow,.,29,6,.,51,.
02/16/2020,56,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,30,4,.,56,.
02/17/2020,66,PM2.5,Cleveland Near Road,39-035-0060,AirNow,.,30,4,.,66,.
02/18/2020,50,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,31,4,.,50,.
02/19/2020,42,PM2.5,Cleveland Near Road,39-035-0073,AirNow,.,34,4,.,42,.
