Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/2020,27,Ozone,GR-Monroe,26-081-0020,AirNow,,27,,,25,
1/2/2020,32,PM2.5,GR-Monroe,26-081-0020,AirNow,,24,,,32,
1/3/2020,28,PM2.5,GR-Monroe,26-081-0020,AirNow,,24,,,28,
1/4/2020,31,Ozone,GR-Monroe,26-081-0020,AirNow,,31,,,19,
1/5/2020,29,Ozone,GR-Monroe,26-081-0020,AirNow,,29,,,20,
1/6/2020,29,Ozone,GR-Monroe,26-081-0020,AirNow,,29,,,22,
1/7/2020,33,Ozone,GR-Monroe,26-081-0020,AirNow,,33,,,22,
1/8/2020,23,PM2.5,GR-Monroe,26-081-0020,AirNow,,.,,,23,
1/9/2020,27,PM2.5,GR-Monroe,26-081-0020,AirNow,,.,,,27,
1/10/2020,41,PM2.5,GR-Monroe,26-081-0020,AirNow,,.,,,41,
1/11/2020,7,PM2.5,GR-Monroe,26-081-0020,AirNow,,.,,,7,
1/12/2020,24,PM2.5,GR-Monroe,26-081-0020,AirNow,,.,,,24,
01/13/2020,29,PM2.5,GR-Monroe,26-081-0020,AirNow,,.,,,29,
01/14/2020,34,PM2.5,GR-Monroe,26-081-0020,AirNow,,.,,,34,
01/15/2020,39,PM2.5,GR-Monroe,26-081-0020,AirNow,,.,,,39,
01/16/2020,27,PM2.5,GR-Monroe,26-081-0020,AirNow,,26,,,27,
01/17/2020,26,Ozone,GR-Monroe,26-081-0020,AirNow,,26,,,22,
01/18/2020,25,Ozone,GR-Monroe,26-081-0020,AirNow,,25,,,15,
01/19/2020,35,Ozone,GR-Monroe,26-081-0020,AirNow,,35,,,29,
01/20/2020,31,Ozone,GR-Monroe,26-081-0020,AirNow,,31,,,24,
01/21/2020,32,PM2.5,GR-Monroe,26-081-0020,AirNow,,32,,,32,
01/22/2020,37,PM2.5,GR-Monroe,26-081-0020,AirNow,,24,,,37,
01/23/2020,38,PM2.5,GR-Monroe,26-081-0020,AirNow,,27,,,38,
01/24/2020,35,PM2.5,GR-Monroe,26-081-0020,AirNow,,21,,,35,
01/25/2020,29,PM2.5,GR-Monroe,26-081-0020,AirNow,,22,,,29,
01/26/2020,28,Ozone,GR-Monroe,26-081-0020,AirNow,,28,,,22,
01/27/2020,31,Ozone,GR-Monroe,26-081-0020,AirNow,,31,,,.,
01/28/2020,28,Ozone,GR-Monroe,26-081-0020,AirNow,,28,,,.,
01/29/2020,26,PM2.5,GR-Monroe,26-081-0020,AirNow,,24,,,26,
01/30/2020,35,PM2.5,GR-Monroe,26-081-0020,AirNow,,24,,,35,
01/31/2020,35,PM2.5,GR-Monroe,26-081-0020,AirNow,,26,,,35,
2/1/2020,26,PM2.5,GR-Monroe,26-081-0020,AirNow,,24,,,26,
2/2/2020,35,Ozone,GR-Monroe,26-081-0020,AirNow,,35,,,22,
2/3/2020,31,Ozone,GR-Monroe,26-081-0020,AirNow,,31,,,28,
2/4/2020,20,PM2.5,GR-Monroe,26-081-0020,AirNow,,.,,,20,
2/5/2020,33,Ozone,GR-Monroe,26-081-0020,AirNow,,33,,,17,
2/6/2020,20,PM2.5,GR-Monroe,26-081-0020,AirNow,,.,,,20,
2/7/2020,32,PM2.5,GR-Monroe,26-081-0020,AirNow,,30,,,32,
2/8/2020,31,PM2.5,GR-Monroe,26-081-0020,AirNow,,29,,,31,
2/9/2020,36,PM2.5,GR-Monroe,26-081-0020,AirNow,,27,,,36,
2/10/2020,35,PM2.5,GR-Monroe,26-081-0020,AirNow,,28,,,35,
2/11/2020,32,PM2.5,GR-Monroe,26-081-0020,AirNow,,31,,,32,
2/12/2020,31,PM2.5,GR-Monroe,26-081-0020,AirNow,,27,,,31,
02/13/2020,31,PM2.5,GR-Monroe,26-081-0020,AirNow,,29,,,31,
02/14/2020,29,PM2.5,GR-Monroe,26-081-0020,AirNow,,29,,,29,
02/15/2020,31,PM2.5,GR-Monroe,26-081-0020,AirNow,,27,,,31,
02/16/2020,36,Ozone,GR-Monroe,26-081-0020,AirNow,,36,,,32,
02/17/2020,30,Ozone,GR-Monroe,26-081-0020,AirNow,,30,,,27,
02/18/2020,33,Ozone,GR-Monroe,26-081-0020,AirNow,,33,,,32,
02/19/2020,35,Ozone,GR-Monroe,26-081-0020,AirNow,,35,,,24,
02/20/2020,34,Ozone,GR-Monroe,26-081-0020,AirNow,,34,,,27,
02/21/2020,34,PM2.5,GR-Monroe,26-081-0020,AirNow,,31,,,34,
02/22/2020,33,PM2.5,GR-Monroe,26-081-0020,AirNow,,30,,,33,
02/23/2020,46,PM2.5,GR-Monroe,26-081-0020,AirNow,,31,,,46,
02/24/2020,39,PM2.5,GR-Monroe,26-081-0020,AirNow,,35,,,39,
