Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,SO2,PM25
1/1/2020,38,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,38
1/2/2020,28,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,28
1/3/2020,25,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,25
1/4/2020,17,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,17
1/5/2020,32,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,32
1/6/2020,19,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,19
1/7/2020,19,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,19
1/10/2020,62,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,62
1/11/2020,12,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,12
1/12/2020,15,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,15
01/13/2020,32,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,32
01/14/2020,54,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,54
01/15/2020,39,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,39
01/16/2020,25,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,25
01/17/2020,35,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,35
01/18/2020,26,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,26
01/19/2020,15,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,15
01/20/2020,23,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,23
01/21/2020,52,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,52
01/22/2020,65,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,65
01/23/2020,63,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,63
01/24/2020,58,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,58
01/25/2020,27,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,27
01/26/2020,27,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,27
01/27/2020,14,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,14
01/28/2020,12,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,12
01/29/2020,8,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,8
01/30/2020,56,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,56
01/31/2020,79,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,79
2/1/2020,57,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,57
2/2/2020,31,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,31
2/3/2020,23,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,23
2/4/2020,12,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,12
2/5/2020,29,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,29
2/6/2020,48,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,48
2/7/2020,40,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,40
2/8/2020,22,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,22
2/9/2020,32,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,32
2/10/2020,52,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,52
2/11/2020,55,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,55
2/12/2020,40,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,40
02/13/2020,15,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,15
02/14/2020,35,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,35
02/15/2020,36,PM2.5,GREEN BAY EAST HIGH,55-009-0005,AirNow,.,,36
