Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/2020,35,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,27,,,35,
1/2/2020,29,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,24,,,29,
1/3/2020,43,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,26,,,43,
1/4/2020,31,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,31,,,30,
1/5/2020,36,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,29,,,36,
1/6/2020,28,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,.,,,28,
1/7/2020,31,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,31,,,28,
1/8/2020,43,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,31,,,28,
1/9/2020,54,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,31,,,28,
1/10/2020,65,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,25,,,65,
1/11/2020,33,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,33,,,16,
1/12/2020,28,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,28,,,26,
01/13/2020,47,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,18,,,47,
01/14/2020,60,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,16,,,60,
01/15/2020,62,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,24,,,62,
01/16/2020,42,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,24,,,42,
01/17/2020,33,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,.,,,33,
01/18/2020,32,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,25,,,32,
01/19/2020,29,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,29,,,28,
01/20/2020,38,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,31,,,38,
01/21/2020,60,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,32,,,60,
01/22/2020,60,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,20,,,60,
01/23/2020,70,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,19,,,70,
01/24/2020,58,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,21,,,58,
01/25/2020,43,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,21,,,43,
01/26/2020,53,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,24,,,53,
01/27/2020,43,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,31,,,43,
01/28/2020,36,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,31,,,36,
01/29/2020,51,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,24,,,51,
01/30/2020,70,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,16,,,70,
01/31/2020,75,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,17,,,75,
2/1/2020,55,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,26,,,55,
2/2/2020,34,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,34,,,26,
2/3/2020,33,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,33,,,25,
2/4/2020,30,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,30,,,18,
2/5/2020,17,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,.,,,17,
2/6/2020,34,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,31,,,34,
2/7/2020,38,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,32,,,38,
2/8/2020,35,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,32,,,35,
2/9/2020,61,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,27,,,61,
2/10/2020,51,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,24,,,51,
2/11/2020,58,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,31,,,58,
2/12/2020,50,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,27,,,50,
02/13/2020,29,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,29,,,20,
02/14/2020,33,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,28,,,33,
02/15/2020,40,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AirNow,,27,,,40,
02/16/2020,52,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AirNow,,34,,,52,
02/17/2020,50,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,35,,,50,
02/18/2020,40,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,35,,,40,
02/19/2020,35,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,35,,,25,
02/20/2020,33,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,33,,,28,
02/21/2020,54,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,31,,,54,
02/22/2020,43,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,32,,,43,
02/23/2020,51,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,38,,,51,
02/24/2020,38,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,38,,,29,
02/25/2020,36,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,36,,,17,
02/26/2020,20,PM2.5,MILWAUKEE - COLLEGE AVE. NR,55-079-0056,AirNow,,.,,,20,
02/27/2020,34,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,34,,,20,
02/28/2020,35,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,35,,,25,
02/29/2020,36,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,36,,,25,
3/1/2020,51,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,39,,,51,
3/2/2020,42,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,32,,,42,
3/3/2020,42,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,31,,,42,
3/4/2020,35,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,35,,,30,
3/5/2020,31,PM2.5,MILWAUKEE - SIXTEENTH ST. HEALTH CENTER,55-079-0010,AirNow,,31,,,31,
3/6/2020,35,Ozone,MILWAUKEE - SER DNR HDQRS,55-079-0026,AirNow,,35,,,30,
3/7/2020,41,PM2.5,WAUKESHA - CLEVELAND AVE,55-133-0027,AirNow,,33,,,41,
