Date,Overall_AQI_Value,Main Pollutant,SiteName (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,SO2,PM10,PM25,NO2
1/1/2020,29,Ozone,Portland,41-051-0080,AirNow,,29,,,16,
1/2/2020,28,Ozone,Portland,41-051-0080,AirNow,,28,,,20,
1/3/2020,35,Ozone,Portland,41-051-0080,AirNow,,35,,,20,
1/4/2020,34,Ozone,Portland,41-051-0080,AirNow,,34,,,20,
1/5/2020,31,Ozone,Portland,41-051-0080,AirNow,,31,,,15,
1/6/2020,31,Ozone,Portland,41-051-0080,AirNow,,31,,,13,
1/7/2020,32,Ozone,Portland,41-051-0080,AirNow,,32,,,13,
1/8/2020,24,Ozone,Portland,41-051-0080,AirNow,,24,,,19,
1/9/2020,36,PM2.5,Portland,41-067-0004,AirNow,,14,,,36,
1/10/2020,34,Ozone,Portland,41-051-0080,AirNow,,34,,,16,
1/11/2020,31,Ozone,Portland,41-051-0080,AirNow,,31,,,16,
1/12/2020,33,Ozone,Portland,41-051-0080,AirNow,,33,,,13,
01/13/2020,30,Ozone,Portland,41-051-0080,AirNow,,30,,,27,
01/14/2020,28,Ozone,Portland,41-051-0080,AirNow,,28,,,26,
01/15/2020,33,Ozone,Portland,41-051-0080,AirNow,,33,,,18,
01/16/2020,43,PM2.5,Portland,41-051-0080,AirNow,,23,,,43,
01/17/2020,33,PM2.5,Portland,41-067-0005,AirNow,,24,,,33,
01/18/2020,25,PM2.5,Portland,41-067-0005,AirNow,,24,,,25,
01/19/2020,30,PM2.5,Portland,41-051-0080,AirNow,,25,,,30,
01/20/2020,61,PM2.5,Portland,53-011-0024,AirNow,,22,,,61,
01/21/2020,34,Ozone,Portland,41-051-0080,AirNow,,34,,,28,
01/22/2020,28,Ozone,Portland,41-051-0080,AirNow,,28,,,12,
01/23/2020,28,Ozone,Portland,41-051-0080,AirNow,,28,,,15,
01/24/2020,30,Ozone,Portland,41-051-0080,AirNow,,30,,,23,
01/25/2020,27,PM2.5,Portland,41-067-0004,AirNow,,25,,,27,
01/26/2020,32,Ozone,Portland,41-051-0080,AirNow,,32,,,17,
01/27/2020,33,Ozone,Portland,41-051-0080,AirNow,,33,,,23,
01/28/2020,33,Ozone,Portland,41-051-0080,AirNow,,33,,,13,
01/29/2020,21,PM2.5,Portland,41-067-0004,AirNow,,21,,,21,
01/30/2020,25,PM2.5,Portland,41-067-0005,AirNow,,23,,,25,
01/31/2020,30,Ozone,Portland,41-051-0080,AirNow,,30,,,11,
2/1/2020,30,Ozone,Portland,41-051-0080,AirNow,,30,,,13,
2/2/2020,52,PM2.5,Portland,41-051-0080,AirNow,,27,,,52,
