Date,Overall_AQI_Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),Ozone,PM25,NO2
1/1/2020,33,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,30,33,9
1/2/2020,28,Ozone,Potato Creek State Park,18-141-0010,AQS,28,24,10
1/3/2020,39,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,25,39,19
1/4/2020,31,Ozone,Potato Creek State Park,18-141-0010,AQS,31,19,8
1/5/2020,28,Ozone,South Bend-Shields Dr.,18-141-0015,AQS,28,22,8
1/6/2020,27,Ozone,Granger-Beckley St.,18-141-0016,AQS,27,20,13
1/7/2020,30,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,28,30,27
1/8/2020,30,Ozone,Potato Creek State Park,18-141-0010,AQS,30,18,12
1/9/2020,31,Ozone,Potato Creek State Park,18-141-0010,AQS,31,26,9
1/10/2020,31,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,27,31,15
1/11/2020,28,Ozone,South Bend-Shields Dr.,18-141-0015,AQS,28,10,11
1/12/2020,27,Ozone,Potato Creek State Park,18-141-0010,AQS,27,20,10
01/13/2020,37,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,21,37,9
01/14/2020,48,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,19,48,20
01/15/2020,55,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,22,55,21
01/16/2020,44,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,26,44,11
01/17/2020,24,Ozone,Potato Creek State Park,18-141-0010,AQS,24,20,12
01/18/2020,28,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,23,28,9
01/19/2020,53,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,21,53,31
01/20/2020,49,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,35,49,34
01/21/2020,36,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,30,36,36
01/22/2020,55,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,26,55,14
01/23/2020,49,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,23,49,22
01/24/2020,40,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,19,40,25
01/25/2020,52,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,17,52,12
01/26/2020,54,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,23,54,12
01/27/2020,40,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,30,40,17
01/28/2020,32,Ozone,South Bend-Shields Dr.,18-141-0015,AQS,32,28,14
01/29/2020,32,Ozone,South Bend-Shields Dr.,18-141-0015,AQS,32,30,16
01/30/2020,50,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,28,50,20
01/31/2020,54,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,30,54,15
2/1/2020,58,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,22,58,.
2/2/2020,33,Ozone,Potato Creek State Park,18-141-0010,AQS,33,23,.
2/3/2020,44,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,30,44,.
2/4/2020,30,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,30,30,.
2/5/2020,31,Ozone,Potato Creek State Park,18-141-0010,AQS,31,20,.
2/6/2020,32,Ozone,Potato Creek State Park,18-141-0010,AQS,32,20,.
2/7/2020,36,Ozone,Potato Creek State Park,18-141-0010,AQS,36,.,.
2/8/2020,35,Ozone,Potato Creek State Park,18-141-0010,AQS,35,.,.
2/9/2020,53,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,29,53,.
2/10/2020,51,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,31,51,.
2/11/2020,31,Ozone,Potato Creek State Park,18-141-0010,AQS,31,.,.
2/12/2020,27,Ozone,Potato Creek State Park,18-141-0010,AQS,27,.,.
02/13/2020,31,Ozone,Potato Creek State Park,18-141-0010,AQS,31,.,.
02/14/2020,30,Ozone,Potato Creek State Park,18-141-0010,AQS,30,.,.
02/15/2020,31,Ozone,Potato Creek State Park,18-141-0010,AQS,31,.,.
02/16/2020,32,Ozone,Granger-Beckley St.,18-141-0016,AQS,32,.,.
02/17/2020,31,Ozone,Potato Creek State Park,18-141-0010,AQS,31,.,.
02/18/2020,34,Ozone,Potato Creek State Park,18-141-0010,AQS,34,.,.
02/19/2020,35,Ozone,Potato Creek State Park,18-141-0010,AQS,35,.,.
02/20/2020,38,Ozone,Potato Creek State Park,18-141-0010,AQS,38,17,.
02/21/2020,43,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,34,43,.
02/22/2020,38,Ozone,Potato Creek State Park,18-141-0010,AQS,38,.,.
02/23/2020,36,Ozone,Potato Creek State Park,18-141-0010,AQS,36,.,.
02/24/2020,33,Ozone,Granger-Beckley St.,18-141-0016,AQS,33,.,.
02/25/2020,38,Ozone,Cassopolis,26-027-0003,AirNow,38,.,.
02/26/2020,38,Ozone,Cassopolis,26-027-0003,AirNow,38,.,.
02/27/2020,38,Ozone,Cassopolis,26-027-0003,AirNow,38,17,.
02/28/2020,39,Ozone,Cassopolis,26-027-0003,AirNow,39,.,.
02/29/2020,38,Ozone,Potato Creek State Park,18-141-0010,AQS,38,.,.
3/1/2020,40,Ozone,Potato Creek State Park,18-141-0010,AirNow,40,.,.
3/2/2020,36,Ozone,Potato Creek State Park,18-141-0010,AirNow,36,.,.
3/3/2020,34,Ozone,Cassopolis,26-027-0003,AirNow,34,.,.
3/4/2020,39,Ozone,Cassopolis,26-027-0003,AirNow,39,24,.
3/5/2020,36,Ozone,Cassopolis,26-027-0003,AirNow,36,28,.
3/6/2020,35,Ozone,Potato Creek State Park,18-141-0010,AirNow,35,15,.
3/7/2020,36,Ozone,Potato Creek State Park,18-141-0010,AirNow,36,28,.
3/8/2020,44,Ozone,Potato Creek State Park,18-141-0010,AirNow,44,29,.
3/9/2020,43,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,40,43,.
3/10/2020,32,Ozone,Cassopolis,26-027-0003,AirNow,32,27,.
3/11/2020,56,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,23,56,.
3/12/2020,54,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,32,54,.
03/13/2020,39,Ozone,Cassopolis,26-027-0003,AirNow,39,23,.
03/14/2020,37,Ozone,Cassopolis,26-027-0003,AirNow,37,30,.
03/15/2020,40,Ozone,Cassopolis,26-027-0003,AirNow,40,31,.
03/16/2020,46,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,31,46,.
03/17/2020,49,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,42,49,.
03/18/2020,57,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,33,57,.
03/19/2020,47,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,24,47,.
03/20/2020,34,Ozone,Cassopolis,26-027-0003,AirNow,34,14,.
03/21/2020,36,Ozone,Cassopolis,26-027-0003,AirNow,36,26,.
03/22/2020,48,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,37,48,.
03/23/2020,44,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,41,44,.
03/24/2020,61,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,36,61,.
03/25/2020,63,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,42,63,.
03/26/2020,53,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,31,53,.
03/27/2020,56,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,32,56,.
03/28/2020,42,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,33,42,.
03/29/2020,37,Ozone,Cassopolis,26-027-0003,AirNow,37,13,.
03/30/2020,38,Ozone,Cassopolis,26-027-0003,AirNow,38,12,.
03/31/2020,28,Ozone,Potato Creek State Park,18-141-0010,AirNow,28,23,.
4/1/2020,28,Ozone,Potato Creek State Park,18-141-0010,AirNow,28,.,.
4/2/2020,40,Ozone,Potato Creek State Park,18-141-0010,AirNow,40,35,.
4/3/2020,51,Ozone,Cassopolis,26-027-0003,AirNow,51,.,.
4/4/2020,31,Ozone,Potato Creek State Park,18-141-0010,AirNow,31,.,.
4/5/2020,44,Ozone,Cassopolis,26-027-0003,AirNow,44,39,.
4/6/2020,47,Ozone,Cassopolis,26-027-0003,AirNow,47,.,.
4/7/2020,55,PM2.5,South Bend-Shields Dr.,18-141-0015,AirNow,44,55,.
4/8/2020,41,Ozone,Cassopolis,26-027-0003,AirNow,41,40,.
4/9/2020,43,Ozone,Cassopolis,26-027-0003,AirNow,43,.,.
4/10/2020,37,Ozone,Potato Creek State Park,18-141-0010,AirNow,37,.,.
1/1/2019,30,Ozone,Granger-Beckley St.,18-141-0016,AQS,30,19,8
1/2/2019,28,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,26,28,11
1/3/2019,38,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,19,38,9
1/4/2019,50,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,22,50,29
1/5/2019,56,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,19,56,24
1/6/2019,33,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,30,33,10
1/7/2019,30,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,25,30,9
1/8/2019,35,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,26,35,14
1/9/2019,29,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,26,29,14
1/10/2019,35,Ozone,Potato Creek State Park,18-141-0010,AQS,35,22,10
1/11/2019,41,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,30,41,16
1/12/2019,59,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,28,59,11
01/13/2019,46,PM2.5,South Bend-Shields Dr.,18-141-0015,AQS,32,46,31
